OUTPUT o_ack 	 location (0, 16, 0) 	 H1 	 
OUTPUT o_sdram_addr[2] 	 location (0, 18, 0) 	 H2 	 
OUTPUT o_data[14] 	 location (33, 22, 0) 	 F15 	 
INPUT  i_data[4] 	 location (31, 33, 0) 	 A15 	 
INPUT  i_addr[4] 	 location (10, 33, 1) 	 D7 	 
OUTPUT o_data[5] 	 location (33, 6, 0) 	 L13 	 
OUTPUT io_sdram_dq[3] 	 location (0, 13, 1) 	 H4 	 
INPUT  i_data[13] 	 location (27, 33, 1) 	 B13 	 
INPUT  i_addr[15] 	 location (19, 33, 1) 	 B8 	 
OUTPUT o_sdram_addr[7] 	 location (0, 21, 0) 	 F2 	 
OUTPUT o_busy 	 location (0, 11, 0) 	 K1 	 
INPUT  i_addr[9] 	 location (24, 33, 1) 	 C11 	 
OUTPUT o_data[27] 	 location (33, 12, 0) 	 K14 	 
OUTPUT o_data[10] 	 location (33, 24, 1) 	 F11 	 
OUTPUT io_sdram_dq[6] 	 location (0, 11, 1) 	 J4 	 
INPUT  i_rst 	 location (0, 17, 0) 	 G4 	 
INPUT  i_disable_precharge 	 location (0, 3, 1) 	 M4 	 
INPUT  i_data[8] 	 location (33, 28, 0) 	 E13 	 
INPUT  i_addr[0] 	 location (10, 33, 0) 	 B6 	 
OUTPUT o_data[1] 	 location (33, 25, 0) 	 D14 	 
OUTPUT o_sdram_wen 	 location (1, 33, 1) 	 A1 	 
OUTPUT o_sdram_addr[8] 	 location (0, 27, 0) 	 D3 	 
OUTPUT o_data[15] 	 location (33, 21, 1) 	 G12 	 
OUTPUT o_data[4] 	 location (33, 6, 1) 	 J12 	 
OUTPUT o_data[23] 	 location (33, 15, 0) 	 H14 	 
OUTPUT io_sdram_dq[2] 	 location (4, 33, 1) 	 B3 	 
OUTPUT o_sdram_cke 	 location (0, 24, 1) 	 D2 	 
OUTPUT o_data[26] 	 location (33, 13, 0) 	 J15 	 
OUTPUT io_sdram_dq[9] 	 location (0, 13, 0) 	 J1 	 
INPUT  i_data[7] 	 location (33, 30, 0) 	 C14 	 
INPUT  i_addr[1] 	 location (20, 33, 1) 	 F9 	 
OUTPUT o_sdram_addr[11] 	 location (7, 33, 1) 	 B5 	 
OUTPUT o_data[18] 	 location (33, 20, 0) 	 G14 	 
INPUT  i_addr[10] 	 location (0, 9, 0) 	 L1 	 
OUTPUT o_data[9] 	 location (33, 4, 0) 	 M13 	 
OUTPUT io_sdram_dq[13] 	 location (3, 33, 0) 	 C4 	 
OUTPUT o_sdram_addr[0] 	 location (0, 17, 1) 	 H6 	 
OUTPUT o_data[29] 	 location (33, 10, 1) 	 J11 	 
INPUT  i_disable_autorefresh 	 location (0, 3, 0) 	 L4 	 
INPUT  i_data[2] 	 location (30, 33, 0) 	 C13 	 
